id,user_id,company_id,type,permission,is_deleted,create_date,status,modify_date
3,38860,39072,1,[],1,2026-01-22 11:28:23,1,2026-01-22 11:28:23
4,38860,39073,1,[],0,2026-01-22 11:42:08,0,2026-01-22 11:42:08
5,38829,39072,1,[],1,2026-01-22 11:49:41,1,2026-01-22 11:49:41
6,38872,39072,1,[],1,2026-01-22 11:54:39,0,2026-01-22 11:54:39
7,38985,38941,1,[],0,2026-01-22 12:42:58,0,2026-01-22 12:42:58
8,639,39072,1,[],1,2026-01-22 12:57:33,0,2026-01-22 12:57:33
9,19,39072,1,[],1,2026-01-22 13:19:52,0,2026-01-22 13:19:52
10,39007,39072,1,[],1,2026-01-22 15:31:49,0,2026-01-22 15:31:49
11,2670,39079,1,[],0,2026-01-22 15:44:22,0,2026-01-22 15:44:22
12,39080,39081,1,[],0,2026-01-23 12:28:23,0,2026-01-23 12:28:23
13,5014,39100,1,[],0,2026-01-23 18:46:12,0,2026-01-23 18:46:12
14,639,39100,1,[],1,2026-01-23 18:52:40,0,2026-01-23 18:52:40
15,17,39100,1,[],1,2026-01-23 18:52:52,0,2026-01-23 18:52:52
16,639,39100,1,[],0,2026-01-23 18:53:36,0,2026-01-23 18:53:36
17,38872,39081,1,[],0,2026-01-23 18:58:18,0,2026-01-23 18:58:18
18,19,39100,1,[],1,2026-01-27 11:26:35,0,2026-01-27 11:26:35
19,19,39100,1,[],1,2026-01-27 11:28:49,0,2026-01-27 11:28:49
20,19,39100,1,[],0,2026-01-27 11:45:10,0,2026-01-27 11:45:10
21,39121,39122,1,[],0,2026-01-28 18:03:43,0,2026-01-28 18:03:43
22,19,39081,1,[],0,2026-01-29 10:41:57,0,2026-01-29 10:41:57
23,19,16625,1,[],0,2026-01-30 10:52:33,0,2026-01-30 10:52:33
24,19,2714,1,[],0,2026-01-30 10:53:09,0,2026-01-30 10:53:09
25,19,39128,1,[],0,2026-01-30 10:53:32,0,2026-01-30 10:53:32
26,39080,39129,1,[],0,2026-01-30 12:27:04,0,2026-01-30 12:27:04
27,3695,39072,1,[],1,2026-01-30 13:37:29,0,2026-01-30 13:37:29
28,5014,39072,1,[],1,2026-01-30 13:42:40,0,2026-01-30 13:42:40
29,27244,27937,1,[],0,2026-01-31 13:36:30,0,2026-01-31 13:36:30
30,27244,39130,1,[],0,2026-01-31 13:36:59,0,2026-01-31 13:36:59
31,27244,39013,1,[],1,2026-01-31 13:36:59,0,2026-01-31 13:36:59
46,639,39158,1,[],0,2026-02-03 18:11:17,0,2026-02-03 18:11:17
50,39173,39100,1,[],1,2026-02-06 16:08:34,0,2026-02-06 16:08:34
53,39189,39190,1,[],0,2026-02-07 13:12:42,0,2026-02-07 13:12:42
54,39189,39191,1,[],0,2026-02-07 13:20:34,0,2026-02-07 13:20:34
55,39192,39193,1,[],0,2026-02-07 13:26:09,0,2026-02-07 13:26:09
56,39194,39195,1,[],0,2026-02-07 13:31:33,0,2026-02-07 13:31:33
57,39196,39197,1,[],0,2026-02-07 13:34:14,0,2026-02-07 13:34:14
58,39214,39215,1,[],0,2026-02-10 12:06:18,0,2026-02-10 12:06:18
59,5014,39072,1,[],1,2026-02-13 11:25:14,0,2026-02-13 11:25:14
60,5014,39072,1,[],1,2026-02-13 11:47:59,0,2026-02-13 11:47:59
61,19,39072,1,[],1,2026-02-13 12:15:13,0,2026-02-13 12:15:13
62,38985,39256,1,[],0,2026-02-14 11:20:02,0,2026-02-14 11:20:02
64,19,39072,1,[],1,2026-02-14 13:38:29,0,2026-02-14 13:38:29
65,18,39072,1,[],1,2026-02-14 13:38:39,0,2026-02-14 13:38:39
66,134,39072,1,[],0,2026-02-14 13:39:03,0,2026-02-14 13:39:03
67,39261,39262,1,[],0,2026-02-14 15:20:24,0,2026-02-14 15:20:24
68,39265,39266,1,[],0,2026-02-14 15:47:17,0,2026-02-14 15:47:17
69,39267,39268,1,[],0,2026-02-14 16:14:11,0,2026-02-14 16:14:11
70,39271,39272,1,[],0,2026-02-14 17:11:08,0,2026-02-14 17:11:08
71,38829,39072,1,[],0,2026-02-17 15:00:40,0,2026-02-17 15:00:40
72,38829,39081,1,[],0,2026-02-17 15:01:23,0,2026-02-17 15:01:23
73,639,39286,1,[],0,2026-02-19 11:51:44,0,2026-02-19 11:51:44
74,38985,39292,1,[],0,2026-02-21 11:22:33,0,2026-02-21 11:22:33
75,19,39256,1,[],1,2026-02-23 11:27:30,0,2026-02-23 11:27:30
