id,type,status,create_date,modify_date
1,Image,1,2022-12-01 15:55:13,2022-12-01 15:55:13
2,Video,1,2022-12-01 15:55:13,2022-12-01 15:55:13
3,Url,1,2022-12-01 15:55:13,2022-12-01 15:55:13
4,Pdf,1,2022-12-01 15:55:13,2022-12-01 15:55:13
