id,name,salary,status,create_date,modify_date
1,0-3 Lakhs,"1,300000",1,,
2,3-6 Lakhs,"300001,600000",1,,
3,6-10 Lakhs,"600001,1000000",1,,
4,10-15 Lakhs,"1000001,1500000",1,,
5,15-25 Lakhs,"1500001,2500000",1,,
6,25-50 Lakhs,"2500001,5000000",1,,
7,50-75 Lakhs,"5000001,7500000",1,,
8,75-100 Lakhs,"7500001,10000000",1,,
9,1-5 Cr,"10000001,50000000",1,,
10,5+ Cr,"50000001,10000000000000",1,,
