id,job,user,status,is_deleted,create_date,modify_date
90,7,395,1,0,2025-04-06 16:46:20,2025-04-06 16:46:20
91,30,415,1,0,2025-04-06 18:37:09,2025-04-06 18:37:09
92,13,417,1,0,2025-04-06 20:53:31,2025-04-06 20:53:31
93,10,422,1,0,2025-04-07 00:06:44,2025-04-07 00:06:44
94,11,423,1,0,2025-04-07 00:08:25,2025-04-07 00:08:25
95,16,428,1,0,2025-04-07 11:03:30,2025-04-07 11:03:30
96,12,430,1,0,2025-04-07 14:02:45,2025-04-07 14:02:45
97,30,431,1,0,2025-04-07 15:15:45,2025-04-07 15:15:45
98,22,88,1,0,2025-04-07 17:03:11,2025-04-07 17:03:11
99,7,432,1,0,2025-04-07 17:06:15,2025-04-07 17:06:15
100,11,368,1,0,2025-04-07 19:48:23,2025-04-07 19:48:23
101,30,440,1,0,2025-04-07 22:27:43,2025-04-07 22:27:43
102,12,442,1,0,2025-04-08 11:42:10,2025-04-08 11:42:10
103,10,443,1,0,2025-04-08 11:48:16,2025-04-08 11:48:16
104,37,88,1,0,2025-04-08 15:25:09,2025-04-08 15:25:09
105,12,447,1,0,2025-04-08 21:41:33,2025-04-08 21:41:33
106,10,448,1,0,2025-04-10 08:47:00,2025-04-10 08:47:00
107,10,452,1,0,2025-04-10 11:31:18,2025-04-10 11:31:18
108,25,455,1,0,2025-04-10 14:07:59,2025-04-10 14:07:59
109,25,265,1,0,2025-04-10 16:11:49,2025-04-10 16:11:49
110,10,457,1,0,2025-04-10 16:27:49,2025-04-10 16:27:49
111,25,195,1,0,2025-04-12 11:37:12,2025-04-12 11:37:12
112,40,335,1,0,2025-04-12 12:11:47,2025-04-12 12:11:47
113,38,335,1,0,2025-04-12 12:12:14,2025-04-12 12:12:14
114,11,335,1,0,2025-04-12 12:13:29,2025-04-12 12:13:29
115,12,473,1,0,2025-04-12 12:52:12,2025-04-12 12:52:12
116,12,475,1,0,2025-04-12 13:18:28,2025-04-12 13:18:28
117,22,481,1,0,2025-04-12 15:36:50,2025-04-12 15:36:50
118,35,481,1,0,2025-04-12 15:38:16,2025-04-12 15:38:16
119,9,481,1,0,2025-04-12 15:38:26,2025-04-12 15:38:26
120,8,481,1,0,2025-04-12 15:38:41,2025-04-12 15:38:41
121,6,481,1,0,2025-04-12 15:38:42,2025-04-12 15:38:42
122,3,481,1,0,2025-04-12 15:39:02,2025-04-12 15:39:02
123,4,481,1,0,2025-04-12 15:39:04,2025-04-12 15:39:04
124,2,481,1,0,2025-04-12 15:39:06,2025-04-12 15:39:06
125,31,481,1,0,2025-04-12 15:39:31,2025-04-12 15:39:31
126,38,481,1,0,2025-04-12 15:39:34,2025-04-12 15:39:34
127,27,481,1,0,2025-04-12 15:39:37,2025-04-12 15:39:37
128,10,481,1,0,2025-04-12 15:39:58,2025-04-12 15:39:58
129,29,481,1,0,2025-04-12 15:40:37,2025-04-12 15:40:37
130,28,481,1,0,2025-04-12 15:40:41,2025-04-12 15:40:41
131,37,481,1,0,2025-04-12 15:45:10,2025-04-12 15:45:10
132,33,481,1,0,2025-04-12 15:45:13,2025-04-12 15:45:13
133,30,481,1,0,2025-04-12 15:45:43,2025-04-12 15:45:43
134,34,481,1,0,2025-04-12 16:11:25,2025-04-12 16:11:25
135,38,489,1,0,2025-04-12 16:20:28,2025-04-12 16:20:28
136,30,489,1,0,2025-04-12 16:21:11,2025-04-12 16:21:11
137,11,490,1,0,2025-04-14 07:07:06,2025-04-14 07:07:06
138,40,490,1,0,2025-04-14 07:08:06,2025-04-14 07:08:06
139,12,189,1,0,2025-04-14 09:44:11,2025-04-14 09:44:11
140,31,496,1,0,2025-04-14 10:43:42,2025-04-14 10:43:42
141,10,496,1,0,2025-04-14 10:46:12,2025-04-14 10:46:12
142,30,499,1,0,2025-04-14 11:19:33,2025-04-14 11:19:33
143,11,501,1,0,2025-04-14 11:42:01,2025-04-14 11:42:01
144,7,421,1,0,2025-04-14 14:07:57,2025-04-14 14:07:57
145,7,510,1,0,2025-04-14 16:14:12,2025-04-14 16:14:12
146,30,511,1,0,2025-04-14 16:54:42,2025-04-14 16:54:42
147,10,173,1,0,2025-04-14 18:04:03,2025-04-14 18:04:03
148,13,468,1,0,2025-04-14 20:31:38,2025-04-14 20:31:38
149,30,523,1,0,2025-04-14 22:40:27,2025-04-14 22:40:27
150,38,529,1,0,2025-04-14 23:31:27,2025-04-14 23:31:27
151,30,529,1,0,2025-04-14 23:32:21,2025-04-14 23:32:21
152,7,531,1,0,2025-04-16 08:29:32,2025-04-16 08:29:32
153,12,532,1,0,2025-04-16 08:43:35,2025-04-16 08:43:35
154,12,535,1,0,2025-04-16 10:25:28,2025-04-16 10:25:28
155,10,539,1,0,2025-04-16 12:14:00,2025-04-16 12:14:00
156,12,544,1,0,2025-04-16 13:08:01,2025-04-16 13:08:01
157,13,543,1,0,2025-04-16 13:09:42,2025-04-16 13:09:42
158,12,498,1,0,2025-04-16 14:35:11,2025-04-16 14:35:11
159,25,492,1,0,2025-04-16 16:41:58,2025-04-16 16:41:58
