id,name,status,create_date,modify_date
1,< 50 Lakhs,1,,
2,50 Lakhs - 1Cr,1,,
3,1Cr - 2Cr,1,,
4,2Cr - 5Cr,1,,
5,5Cr - 10Cr,1,,
6,10Cr - 15Cr,1,,
7,15Cr - 20Cr,1,,
8,20Cr - 30Cr,1,,
9,30Cr - 50Cr,1,,
10,50Cr - 75Cr,1,,
11,75Cr - 100Cr,1,,
12,100Cr - 150Cr,1,,
13,150Cr - 300Cr,1,,
14,300Cr - 500Cr,1,,
15,500Cr - 1000Cr,1,,
16,1000+ Cr,1,,
