id,permission_name,permission_key,status,create_date
1,Add,add,1,2022-10-31 16:49:32
2,Edit,edit,1,2022-10-31 16:49:32
3,Change Status,changestatus,1,2022-10-31 16:49:32
4,Delete,delete,1,2022-10-31 16:49:32
