id,message_id,sender,receiver,message,doc,is_viewed,for_approval,view_datetime,is_deleted,create_date,modify_date
37,22,690,2,cHdvT3l3dkY4MTl4TmlRL2hIMWM0N0ZTTjcyRXhlNlVyUHNKN053bEJYTnlyQVJlYm8rT0pUUEZYNG1USGpvWmtEZVpWdzI5c25vMHN5SnBtWnJDQ2NXWXhnZEVRdnNIWEo2QUgzeE1YdnllVlZEVHpmOTBjdnQveXpvZzdacFhmcEFLV0pZWnhrU0Ztb2NDcC9zNFAvdllad0l1TFdDWU5xSS9wVjVjK3JKVTRXQlFCQTZpVk85ckh1MkxxWVJuOUpFenhZUVpNZkJNR1VUYVFBSmUrVkRjQ3BOMGtUbDcyc2dxa2RqMGdYNWw4UG9uUTlpcHhJQjBWZXQ1a3BEczQ1VXk2Q0FjeFZzbTNJUWRCNmowY1E5SStOa0Q2L2NGMVNtWGV3SUtoM2JzZFZNcTBvYmRyaVJaM2xXMUhiK2NCSk93TFVqTnQ1b2lXbjN3Um1QaFhBeVBNdW8yY29ObFlib0ZmQjZRVHc2T25OMUU4Q0w1cE0zVldBQ2pJVXBTeUNNRWtUeG5XTFVEQmp2MkZBcGZqbG5RenY1QUpsbHhIV25RYkpDVTcrRT0=,,1,1,,0,2025-03-24 15:58:19,2025-03-24 15:58:19
38,15,134,653,b3hLSE1OK1RpUnhZTVpHdWthamRHUT09,"uploads/document/1747198862_946ebec127d5b0e9f6a7.pdf,",1,1,,0,2025-03-24 16:03:19,2025-03-24 16:03:19
39,15,134,653,RGpXWlZxVGxOT25vSDZ6YUFpa0R4dz09,,1,1,,0,2025-03-24 16:08:19,2025-03-24 16:08:19
40,15,134,653,Q1hlb3QrNFpCbjFtYUlPeXBicnNEZz09,,1,1,,0,2025-03-24 16:13:19,2025-03-24 16:13:19
41,15,653,134,RGpXWlZxVGxOT25vSDZ6YUFpa0R4dz09,,1,1,,0,2025-03-24 16:18:19,2025-03-24 16:18:19
42,15,134,653,RGpXWlZxVGxOT25vSDZ6YUFpa0R4dz09,,1,1,,0,2025-03-24 16:23:19,2025-03-24 16:23:19
43,15,653,134,SlZld1FJMjRldEE5OHpvcXBORG5jdz09,,1,1,,0,2025-03-24 16:28:19,2025-03-24 16:28:19
44,15,653,134,YzZVektsbktPeCtZMDFYd3c5OFFCTUN4d0p3dFI5RW5oTk01MjFqUFNRST0=,,1,1,,0,2025-03-24 16:33:19,2025-03-24 16:33:19
45,30,19,1017,MXJwNjFmYStYSEpJUUZZSnZVNm0yUnI3SFE2YUFpUWNsRU85d0dzZUliVWxIVUQ3SmZCSUo3QncvMlg0L3IxOFRFVE9QYlNweUFVT3IwbkVTR1p6M1J4TklnRm5kQjcycmZ3R29IYlJlSzc5TWxwYk14S3NOaXRnLzZqYnJ6cnRQNTJjYlFWNmZaNGNjT0VuYld6Z05nPT0=,,0,1,,1,2025-03-24 16:38:19,2025-03-24 16:38:19
46,33,2670,17,STFwWWc1Y241b1p1MlNVV1E3N3VTZz09,,0,1,,0,2025-03-24 16:43:19,2025-03-24 16:43:19
