id,name,status,create_date,modify_date
1,Fresher,1,,
2,0-1 years,1,,
3,1-2 years,1,,
4,3-4 years,1,,
5,4-5 years,1,,
6,5-7 years,1,,
7,7-10 years,1,,
8,10-12 years,1,,
9,12-15 years,1,,
10,15+ Years,1,,
