id,name,status,create_date,modify_date
1,1-10 employees,1,,
2,11-50 employees,1,,
3,51-200 employees,1,,
4,201-500 employees,1,,
5,"501-1,000 employees",1,,
6,"1,001-5,000 employees",1,,
7,"5,001-10,000 employees",1,,
8,"10,000+ employees",1,,
