id,user,skill,rating,status,is_deleted,create_date,modify_date
3,1,1141,5,1,0,,
4,1,12324,5,1,0,,
5,1,19247,5,1,0,,
6,1,3032,5,1,0,,
9,4,17244,5,1,0,,
10,4,89,5,1,0,,
11,41,15255,5,1,0,,
12,41,15257,4,1,0,,
13,41,2945,4,1,0,,
14,41,6577,5,1,0,,
15,41,17245,4,1,0,,
16,41,17246,4,1,0,,
17,41,17247,5,1,0,,
18,41,15254,3,1,0,,
19,41,15258,4,1,0,,
20,48,7,5,1,0,,
21,48,3087,5,1,0,,
22,48,275,5,1,0,,
23,48,17251,4,1,0,,
24,48,17247,4,1,0,,
25,57,17236,3,1,0,,
27,57,6448,5,1,0,,
28,57,4216,5,1,0,,
29,57,17276,5,1,0,,
32,32,17277,4,1,0,,
33,32,17264,3,1,0,,
34,32,9740,4,1,0,,
35,60,2683,5,1,0,,
36,60,17278,5,1,0,,
37,60,17279,4,1,0,,
38,60,17280,4,1,0,,
39,60,4072,4,1,0,,
40,60,17281,4,1,0,,
41,60,14034,4,1,0,,
42,60,17282,4,1,0,,
43,60,17283,3,1,0,,
44,60,17284,4,1,0,,
45,59,294,5,1,0,,
46,88,3983,5,1,0,,
49,88,17290,3,1,0,,
50,88,4519,5,1,0,,
51,88,6528,4,1,0,,
52,88,17291,3,1,0,,
53,88,17293,5,1,0,,
54,22,2094,4,1,0,,
55,22,4650,4,1,0,,
56,22,6893,4,1,0,,
57,22,9112,5,1,0,,
58,19,10622,4,1,0,,
59,19,19247,4,1,0,,
60,19,2818,4,1,0,,
61,19,10253,5,1,0,,
63,19,491,4,1,0,,
65,45,17315,5,1,0,,
66,50,10127,5,1,0,,
68,50,1163,4,1,0,,
69,19,17320,4,1,0,,
70,50,17321,4,1,0,,
71,50,17322,3,1,0,,
72,50,17323,5,1,0,,
73,50,17324,5,1,0,,
74,50,9841,5,1,0,,
78,18,17289,4,1,0,,
81,18,17327,3,1,0,,
82,39,13756,5,1,0,,
86,39,6531,5,1,0,,
87,39,17329,5,1,0,,
88,39,17330,5,1,0,,
89,39,6528,5,1,0,,
90,39,5351,5,1,0,,
91,39,17307,5,1,0,,
92,39,17332,5,1,0,,
93,39,17328,5,1,0,,
94,39,17333,5,1,0,,
95,39,17334,5,1,0,,
96,39,17293,5,1,0,,
97,39,17335,5,1,0,,
98,39,17336,5,1,0,,
99,39,17337,5,1,0,,
100,39,17338,5,1,0,,
6030,38150,118,5,1,0,,
6031,38246,18571,5,1,0,,
6032,38259,17686,5,1,0,,
6033,38293,18511,5,1,0,,
6034,38293,1308,5,1,0,,
6035,38293,12531,5,1,0,,
6036,38293,18256,5,1,0,,
6037,38293,18952,5,1,0,,
6038,38330,17849,5,1,0,,
6039,38330,18540,4,1,0,,
6040,38330,15281,5,1,0,,
6041,38373,18953,5,1,0,,
6042,38373,18954,5,1,0,,
6043,38373,18198,5,1,0,,
6044,38427,18571,2,1,0,,
6048,38417,18838,5,1,0,,
6050,38434,17557,3,1,0,,
6051,38417,18628,5,1,0,,
6052,38444,1311,4,1,0,,
6053,38305,12576,4,1,0,,
6054,38305,11566,5,1,0,,
6055,38305,17286,4,1,0,,
6056,38305,1612,5,1,0,,
6057,38305,6035,4,1,0,,
6058,38305,1258,3,1,0,,
6059,38305,17810,3,1,0,,
6060,38305,568,4,1,0,,
6061,38305,8502,5,1,0,,
6062,38305,11197,4,1,0,,
6063,38483,3487,4,1,0,,
6064,38483,3459,4,1,0,,
6065,38527,17557,4,1,0,,
6066,38524,17557,4,1,0,,
6067,38533,17557,4,1,0,,
6068,38530,17557,5,1,0,,
6069,38553,17557,4,1,0,,
6070,38568,18229,4,1,0,,
6071,134,12576,4,1,0,,
6072,38589,11855,4,1,0,,
6073,38589,8191,4,1,0,,
6074,7608,17448,5,1,0,,
6076,38588,17448,5,1,0,,
6077,38588,18571,1,1,0,,
6078,38623,18571,5,1,0,,
6080,38630,11855,5,1,0,,
6081,38630,8192,5,1,0,,
6084,38654,18957,4,1,0,,
6085,38654,18958,4,1,0,,
6086,38654,17565,4,1,0,,
6087,38654,18959,5,1,0,,
6088,38654,8287,4,1,0,,
6089,38654,8196,4,1,0,,
6090,38654,13709,4,1,0,,
6091,38654,17389,5,1,0,,
6092,38654,18960,4,1,0,,
6093,38654,18961,3,1,0,,
6094,38654,818,5,1,0,,
6095,38654,18962,5,1,0,,
6096,38647,8191,4,1,0,,
6097,38662,18957,4,1,0,,
6098,38662,18958,2,1,0,,
6099,38662,17565,4,1,0,,
6100,38662,18959,2,1,0,,
6101,38662,8287,4,1,0,,
6102,38662,8196,3,1,0,,
6103,38662,13709,4,1,0,,
6105,38662,18960,4,1,0,,
6106,38662,18961,2,1,0,,
6107,38662,17389,3,1,0,,
6108,38662,818,4,1,0,,
6109,38662,18962,3,1,0,,
6114,38676,17607,4,1,0,,
6115,38676,17448,2,1,0,,
6128,38671,18958,4,1,0,,
6129,38671,18959,4,1,0,,
6130,38671,8196,4,1,0,,
6131,38671,17389,4,1,0,,
6132,38671,18962,4,1,0,,
6133,38686,18961,5,1,0,,
6134,38686,818,4,1,0,,
6135,38686,18962,4,1,0,,
6136,38686,17565,4,1,0,,
6137,38703,11855,5,1,0,,
6138,38697,18962,5,1,0,,
6139,5014,17287,5,1,0,,
6140,38700,17448,4,1,0,,
6142,38721,17678,4,1,0,,
6143,38722,8191,4,1,0,,
6144,38722,17448,4,1,0,,
6149,38697,18959,4,1,0,,
