id,name,status,user_id,user_defined,create_date,modify_date
13937,Siebel 7.x,1,,1,,
13938,SIEM,1,,1,,
13939,Siemens HiPath,1,,1,,
13940,Siemens OPENLink,1,,1,,
13941,Siemens S7-200,1,,1,,
13942,Siemens Soarian,1,,1,,
13943,Sieve Analysis,1,,1,,
13944,SIF,1,,1,,
13945,SIG,1,,1,,
13946,Sight Reading,1,,1,,
13947,SIGINT,1,,1,,
13948,Sigma Theta Tau,1,,1,,
13949,Signalling,1,,1,,
13950,Signal Integrity,1,,1,,
13951,Signal Processing,1,,1,,
13952,Signing Agent,1,,1,,
13953,Signs,1,,1,,
13954,Sign Language,1,,1,,
13955,SIGTRAN,1,,1,,
13956,Sikuli,1,,1,,
13957,SIL,1,,1,,
13958,Silent Knight,1,,1,,
13959,Silhouette,1,,1,,
13960,Silicon,1,,1,,
13961,Silicones,1,,1,,
13962,Silicon Graphics,1,,1,,
13963,Silicon Photonics,1,,1,,
13964,Silicon Validation,1,,1,,
13965,Silk,1,,1,,
13966,SilkTest,1,,1,,
13967,Silk Performer,1,,1,,
13968,Silver,1,,1,,
13969,Silverlight,1,,1,,
13970,Silverpop,1,,1,,
13971,Silverpop Engage,1,,1,,
13972,Silversmithing,1,,1,,
13973,Silverstripe,1,,1,,
13974,Silver Service,1,,1,,
13975,Silver Sneakers,1,,1,,
13976,Silviculture,1,,1,,
13977,SIM,1,,1,,
13978,SimCorp Dimension,1,,1,,
13979,Simmons Choices 3,1,,1,,
13980,Simple Comptable,1,,1,,
13981,Simple IRA,1,,1,,
13982,Simply Accounting,1,,1,,
13983,SIMS,1,,1,,
13984,Simulations,1,,1,,
13985,Simulation Modeling,1,,1,,
13986,Simulation Software,1,,1,,
13987,Simulink,1,,1,,
13988,Simultaneous Interpretation,1,,1,,
13989,Sinatra,1,,1,,
13990,SINCGARS,1,,1,,
13991,Singapore Math,1,,1,,
13992,Singer-songwriter,1,,1,,
13993,Singing,1,,1,,
13994,Singleton,1,,1,,
13995,Singl.eView,1,,1,,
13996,Single Audit,1,,1,,
13997,Single Board Computers,1,,1,,
13998,Single Camera,1,,1,,
13999,Single Engine Land,1,,1,,
14000,Single Family Homes,1,,1,,
14001,Single Line Diagrams,1,,1,,
14002,Single Piece Flow,1,,1,,
14003,Single Sourcing,1,,1,,
14004,Sintering,1,,1,,
14005,Sinus,1,,1,,
14006,Sinusitis,1,,1,,
14007,Sinus Surgery,1,,1,,
14008,SIOP,1,,1,,
14009,SIP,1,,1,,
14010,Siperian,1,,1,,
14011,SIPOC,1,,1,,
14012,SIPP,1,,1,,
14013,SIPRNET,1,,1,,
14014,SIPs,1,,1,,
14015,SIP Servlets,1,,1,,
14016,SIP Trunking,1,,1,,
14017,siRNA,1,,1,,
14018,SIRSI,1,,1,,
14019,SIS,1,,1,,
14020,SIT,1,,1,,
14021,Sitecore,1,,1,,
14022,Site-directed Mutagenesis,1,,1,,
14023,Siteminder,1,,1,,
14024,Site Acquisition,1,,1,,
14025,Site Development,1,,1,,
14026,Site Initiation,1,,1,,
14027,Site Inspections,1,,1,,
14028,Site Investigation,1,,1,,
14029,Site Layout,1,,1,,
14030,Site Management,1,,1,,
14031,Site Maps,1,,1,,
14032,Site Planning,1,,1,,
14033,Site Plans,1,,1,,
14034,Site Supervision,1,,1,,
14035,Situational Awareness,1,,1,,
14036,Situational Leadership,1,,1,,
14037,Situational Sales Negotiation,1,,1,,
14038,Six Sigma,1,,1,,
14039,Six Thinking Hats,1,,1,,
14040,Size Exclusion,1,,1,,
14041,Sizing,1,,1,,
14042,Sizzle Reels,1,,1,,
14043,Ska,1,,1,,
14044,Skate,1,,1,,
14045,Skateboarding,1,,1,,
14046,Skating,1,,1,,
14047,Sketchbook Pro,1,,1,,
14048,Sketcher,1,,1,,
14049,Sketching,1,,1,,
14050,SketchUp,1,,1,,
14051,Sketch Comedy,1,,1,,
14052,Ski,1,,1,,
14053,Skilled Multi-tasker,1,,1,,
14054,Skin,1,,1,,
14055,Skin Care,1,,1,,
14056,Skin Care Products,1,,1,,
14057,SKM,1,,1,,
14058,SKM PowerTools,1,,1,,
14059,Skull Base Surgery,1,,1,,
14060,SKU Management,1,,1,,
14061,Skydiving,1,,1,,
14062,Skyline,1,,1,,
14063,Skype,1,,1,,
14064,SLA,1,,1,,
14065,Slabs,1,,1,,
14066,Slackware,1,,1,,
14067,SLAM,1,,1,,
14068,Slang,1,,1,,
14069,Slate,1,,1,,
14070,Slavic Languages,1,,1,,
14071,SLC500,1,,1,,
14072,SLD,1,,1,,
14073,Sleepwear,1,,1,,
14074,Sleep Apnea,1,,1,,
14075,Sleep Deprivation,1,,1,,
14076,Sleep Disorders,1,,1,,
14077,Sleep Medicine,1,,1,,
14078,Sleep Training,1,,1,,
14079,SLES,1,,1,,
14080,Sleuthkit,1,,1,,
14081,SLF4J,1,,1,,
14082,SLI,1,,1,,
14083,Slicing,1,,1,,
14084,SlickEdit,1,,1,,
14085,Slickline,1,,1,,
14086,Slideshare,1,,1,,
14087,Slide Decks,1,,1,,
14088,Slide Guitar,1,,1,,
14089,Slide Kits,1,,1,,
14090,Slide Preparation,1,,1,,
14091,Slide Shows,1,,1,,
14092,Slipcovers,1,,1,,
14093,Slip &amp; Fall,0,,1,,
14094,Slip Casting,1,,1,,
14095,Slitting,1,,1,,
14096,Slogans,1,,1,,
14097,Slope Stability,1,,1,,
14098,Slope Stability Analysis,1,,1,,
14099,Slotting,1,,1,,
14100,Slovak,1,,1,,
14101,Slovenian,1,,1,,
14102,SLR,1,,1,,
14103,SLS,1,,1,,
14104,SMA,1,,1,,
14105,Small Arms,1,,1,,
14106,Small Arms Instruction,1,,1,,
14107,Small Boat Operations,1,,1,,
14108,Small Business,1,,1,,
14109,Small Business Development,1,,1,,
14110,Small Business Financial Management,1,,1,,
14111,Small Business Lending,1,,1,,
14112,Small Business Marketing,1,,1,,
14113,Small Business Online Marketing,1,,1,,
14114,Small Business Server,1,,1,,
14115,Small Group Counseling,1,,1,,
14116,Small Molecules,1,,1,,
14117,Small Talk,1,,1,,
14118,Small Unit Tactics,1,,1,,
14119,Smartboard,1,,1,,
14120,Smartforms,1,,1,,
14121,Smartphones,1,,1,,
14122,SmartPlant,1,,1,,
14123,Smartstream TLM,1,,1,,
14124,Smarty,1,,1,,
14125,Smart Cards,1,,1,,
14126,Smart Cities,1,,1,,
14127,Smart Grid,1,,1,,
14128,Smart GWT,1,,1,,
14129,Smart Metering,1,,1,,
14130,Smart Plant Review,1,,1,,
14131,SMAW,1,,1,,
14132,SMB,1,,1,,
14133,SMBus,1,,1,,
14134,SMB Sales,1,,1,,
14135,SME,1,,1,,
14136,SMED,1,,1,,
14137,Smelting,1,,1,,
14138,SMERF,1,,1,,
14139,SME Banking,1,,1,,
14140,SME Consulting,1,,1,,
14141,SME development,1,,1,,
14142,SME management,1,,1,,
14143,SME sector,1,,1,,
14144,SMF,1,,1,,
14145,SMIL,1,,1,,
14146,S/MIME,1,,1,,
14147,SMI-S,1,,1,,
14148,Smith Chart,1,,1,,
14149,SML,1,,1,,
14150,SMO,1,,1,,
14151,Smokeping,1,,1,,
14152,Smoke Detectors,1,,1,,
14153,Smoke Testing,1,,1,,
14154,Smoking Cessation,1,,1,,
14155,Smoothies,1,,1,,
14156,Smoothwall,1,,1,,
14157,Smooth Jazz,1,,1,,
14158,SMP,1,,1,,
14159,SMP/E,1,,1,,
14160,SMPP,1,,1,,
14161,SMPS,1,,1,,
14162,SMS,1,,1,,
14163,SMSC,1,,1,,
14164,SMSF,1,,1,,
14165,SMSTS,1,,1,,
14166,SMS Banking,1,,1,,
14167,SMS Gateway,1,,1,,
14168,SMT,1,,1,,
14169,SMTP,1,,1,,
14170,SMT Kingdom,1,,1,,
14171,SNA,1,,1,,
14172,Snacks,1,,1,,
14173,SnagIt,1,,1,,
14174,Snag It,1,,1,,
14175,Snakes,1,,1,,
14176,SNAP,1,,1,,
14177,SnapManager,1,,1,,
14178,SnapMirror,1,,1,,
14179,Snapshot,1,,1,,
14180,SNF,1,,1,,
14181,SNG,1,,1,,
14182,SNIA Certified Storage Professional,1,,1,,
14183,Sniffer,1,,1,,
14184,Sniffer Pro,1,,1,,
14185,SNL,1,,1,,
14186,SNMP,1,,1,,
14187,SNMPc,1,,1,,
14188,SNOM,1,,1,,
14189,SNOMED,1,,1,,
14190,Snooker,1,,1,,
14191,Snoring,1,,1,,
