id,user_id,type,call_method,log_message,payload,status_code,custum_message,create_date
1,39256,gst,general/verifyGst,Invalid OTP,"{\""verified\"":false,\""details\"":{\""contact_details\"":{\""principal\"":{\""address\"":null,\""email\"":null,\""mobile\"":null,\""nature_of_business\"":null},\""additional\"":null},\""promoters\"":null,\""annual_turnover\"":null,\""annual_turnover_fy\"":null,\""percentage_in_cash_fy\"":null,\""percentage_in_cash\"":null,\""aadhaar_validation\"":null,\""aadhaar_validation_date\"":null,\""address_details\"":null,\""liability_percentage_details\"":null,\""less_info\"":null,\""einvoice_status\"":null,\""client_id\"":null,\""gstin\"":null,\""pan_number\"":null,\""fy\"":null,\""business_name\"":null,\""legal_name\"":null,\""center_jurisdiction\"":null,\""state_jurisdiction\"":null,\""date_of_registration\"":null,\""constitution_of_business\"":null,\""taxpayer_type\"":null,\""gstin_status\"":null,\""date_of_cancellation\"":null,\""field_visit_conducted\"":null,\""nature_bus_activities\"":null,\""nature_of_core_business_activity_code\"":null,\""nature_of_core_business_activity_description\"":null,\""filing_status\"":null,\""address\"":null,\""hsn_info\"":null,\""filing_frequency\"":null}}",422,,2026-06-10 15:31:03
2,39256,gst,general/verifyGst,Invalid OTP,"{\""verified\"":false,\""details\"":{\""contact_details\"":{\""principal\"":{\""address\"":null,\""email\"":null,\""mobile\"":null,\""nature_of_business\"":null},\""additional\"":null},\""promoters\"":null,\""annual_turnover\"":null,\""annual_turnover_fy\"":null,\""percentage_in_cash_fy\"":null,\""percentage_in_cash\"":null,\""aadhaar_validation\"":null,\""aadhaar_validation_date\"":null,\""address_details\"":null,\""liability_percentage_details\"":null,\""less_info\"":null,\""einvoice_status\"":null,\""client_id\"":null,\""gstin\"":null,\""pan_number\"":null,\""fy\"":null,\""business_name\"":null,\""legal_name\"":null,\""center_jurisdiction\"":null,\""state_jurisdiction\"":null,\""date_of_registration\"":null,\""constitution_of_business\"":null,\""taxpayer_type\"":null,\""gstin_status\"":null,\""date_of_cancellation\"":null,\""field_visit_conducted\"":null,\""nature_bus_activities\"":null,\""nature_of_core_business_activity_code\"":null,\""nature_of_core_business_activity_description\"":null,\""filing_status\"":null,\""address\"":null,\""hsn_info\"":null,\""filing_frequency\"":null}}",422,,2026-06-10 15:42:55
3,40326,gst,general/verifyGst,Invalid OTP,"{\""verified\"":false,\""details\"":{\""contact_details\"":{\""principal\"":{\""address\"":null,\""email\"":null,\""mobile\"":null,\""nature_of_business\"":null},\""additional\"":null},\""promoters\"":null,\""annual_turnover\"":null,\""annual_turnover_fy\"":null,\""percentage_in_cash_fy\"":null,\""percentage_in_cash\"":null,\""aadhaar_validation\"":null,\""aadhaar_validation_date\"":null,\""address_details\"":null,\""liability_percentage_details\"":null,\""less_info\"":null,\""einvoice_status\"":null,\""client_id\"":null,\""gstin\"":null,\""pan_number\"":null,\""fy\"":null,\""business_name\"":null,\""legal_name\"":null,\""center_jurisdiction\"":null,\""state_jurisdiction\"":null,\""date_of_registration\"":null,\""constitution_of_business\"":null,\""taxpayer_type\"":null,\""gstin_status\"":null,\""date_of_cancellation\"":null,\""field_visit_conducted\"":null,\""nature_bus_activities\"":null,\""nature_of_core_business_activity_code\"":null,\""nature_of_core_business_activity_description\"":null,\""filing_status\"":null,\""address\"":null,\""hsn_info\"":null,\""filing_frequency\"":null}}",422,,2026-06-11 15:27:30
4,40363,gst,general/verifyDocument,Invalid GSTIN,"{\""client_id\"":\""gst_otp_ucjmjXhtvbDPYlowqrus\"",\""email\"":null,\""mobile\"":null,\""fallback\"":false,\""details\"":{\""contact_details\"":{\""principal\"":{\""address\"":null,\""email\"":null,\""mobile\"":null,\""nature_of_business\"":null},\""additional\"":null},\""promoters\"":null,\""annual_turnover\"":null,\""annual_turnover_fy\"":null,\""percentage_in_cash_fy\"":null,\""percentage_in_cash\"":null,\""aadhaar_validation\"":null,\""aadhaar_validation_date\"":null,\""address_details\"":null,\""liability_percentage_details\"":null,\""less_info\"":null,\""einvoice_status\"":null,\""client_id\"":null,\""gstin\"":null,\""pan_number\"":null,\""fy\"":null,\""business_name\"":null,\""legal_name\"":null,\""center_jurisdiction\"":null,\""state_jurisdiction\"":null,\""date_of_registration\"":null,\""constitution_of_business\"":null,\""taxpayer_type\"":null,\""gstin_status\"":null,\""date_of_cancellation\"":null,\""field_visit_conducted\"":null,\""nature_bus_activities\"":null,\""nature_of_core_business_activity_code\"":null,\""nature_of_core_business_activity_description\"":null,\""filing_status\"":null,\""address\"":null,\""hsn_info\"":null,\""filing_frequency\"":null}}",422,,2026-06-15 12:54:59
5,40363,gst,general/verifyGst,Invalid OTP,"{\""verified\"":false,\""details\"":{\""contact_details\"":{\""principal\"":{\""address\"":null,\""email\"":null,\""mobile\"":null,\""nature_of_business\"":null},\""additional\"":null},\""promoters\"":null,\""annual_turnover\"":null,\""annual_turnover_fy\"":null,\""percentage_in_cash_fy\"":null,\""percentage_in_cash\"":null,\""aadhaar_validation\"":null,\""aadhaar_validation_date\"":null,\""address_details\"":null,\""liability_percentage_details\"":null,\""less_info\"":null,\""einvoice_status\"":null,\""client_id\"":null,\""gstin\"":null,\""pan_number\"":null,\""fy\"":null,\""business_name\"":null,\""legal_name\"":null,\""center_jurisdiction\"":null,\""state_jurisdiction\"":null,\""date_of_registration\"":null,\""constitution_of_business\"":null,\""taxpayer_type\"":null,\""gstin_status\"":null,\""date_of_cancellation\"":null,\""field_visit_conducted\"":null,\""nature_bus_activities\"":null,\""nature_of_core_business_activity_code\"":null,\""nature_of_core_business_activity_description\"":null,\""filing_status\"":null,\""address\"":null,\""hsn_info\"":null,\""filing_frequency\"":null}}",422,,2026-06-15 12:56:00
6,40189,gst,general/verifyDocument,Invalid GSTIN,"{\""client_id\"":\""gst_otp_erPhXbjgSsvDdqQffLzK\"",\""email\"":null,\""mobile\"":null,\""fallback\"":false,\""details\"":{\""contact_details\"":{\""principal\"":{\""address\"":null,\""email\"":null,\""mobile\"":null,\""nature_of_business\"":null},\""additional\"":null},\""promoters\"":null,\""annual_turnover\"":null,\""annual_turnover_fy\"":null,\""percentage_in_cash_fy\"":null,\""percentage_in_cash\"":null,\""aadhaar_validation\"":null,\""aadhaar_validation_date\"":null,\""address_details\"":null,\""liability_percentage_details\"":null,\""less_info\"":null,\""einvoice_status\"":null,\""client_id\"":null,\""gstin\"":null,\""pan_number\"":null,\""fy\"":null,\""business_name\"":null,\""legal_name\"":null,\""center_jurisdiction\"":null,\""state_jurisdiction\"":null,\""date_of_registration\"":null,\""constitution_of_business\"":null,\""taxpayer_type\"":null,\""gstin_status\"":null,\""date_of_cancellation\"":null,\""field_visit_conducted\"":null,\""nature_bus_activities\"":null,\""nature_of_core_business_activity_code\"":null,\""nature_of_core_business_activity_description\"":null,\""filing_status\"":null,\""address\"":null,\""hsn_info\"":null,\""filing_frequency\"":null}}",422,,2026-06-26 16:01:04
