id,name,permission,rights,widgets,masking,is_super,status,created_by,create_date,modify_date
1,Super Admin,"[\""1\"",\""179\"",\""180\"",\""195\"",\""196\"",\""197\"",\""198\"",\""199\"",\""202\"",\""227\"",\""185\"",\""186\"",\""191\"",\""192\"",\""193\"",\""194\"",\""200\"",\""201\"",\""204\"",\""182\"",\""205\"",\""206\"",\""207\"",\""208\"",\""219\"",\""220\"",\""221\"",\""222\"",\""246\"",\""215\"",\""216\"",\""217\"",\""218\"",\""229\"",\""225\"",\""226\"",\""228\"",\""236\"",\""187\"",\""188\"",\""243\"",\""244\"",\""245\"",\""223\"",\""210\"",\""224\"",\""235\"",\""211\"",\""212\"",\""213\"",\""230\"",\""231\"",\""232\"",\""238\"",\""233\"",\""234\"",\""240\"",\""241\"",\""242\"",\""250\"",\""237\"",\""251\"",\""252\"",\""247\"",\""248\"",\""253\"",\""45\"",\""46\"",\""48\"",\""178\"",\""47\"",\""177\"",\""214\""]","[\""1\"",\""2\"",\""4\"",\""3\"",\""5\""]","[\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""10\"",\""11\"",\""12\"",\""13\"",\""14\"",\""15\"",\""16\"",\""17\"",\""18\"",\""19\"",\""20\"",\""21\"",\""22\"",\""23\"",\""24\"",\""25\"",\""26\"",\""27\"",\""28\"",\""29\"",\""30\"",\""31\"",\""32\"",\""33\"",\""34\"",\""36\"",\""37\"",\""38\"",\""39\"",\""40\"",\""41\"",\""42\"",\""43\"",\""44\"",\""45\"",\""46\"",\""47\"",\""48\""]",,0,1,1,2021-10-20,2026-06-17
2,View All ONLY,"[\""1\"",\""179\"",\""180\"",\""197\"",\""227\"",\""185\"",\""186\"",\""191\"",\""182\"",\""205\"",\""206\"",\""207\"",\""208\"",\""219\"",\""215\"",\""216\"",\""217\"",\""229\"",\""211\"",\""212\"",\""213\"",\""230\"",\""232\""]","[\""3\""]","[\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""10\"",\""11\"",\""12\"",\""13\"",\""14\"",\""15\"",\""16\"",\""17\"",\""18\"",\""19\"",\""20\"",\""21\"",\""22\"",\""23\"",\""24\"",\""25\"",\""26\"",\""27\"",\""28\"",\""29\"",\""30\"",\""31\"",\""32\"",\""33\"",\""34\"",\""35\"",\""36\"",\""37\"",\""38\"",\""39\"",\""40\"",\""41\"",\""42\"",\""43\"",\""44\""]",,0,1,,2025-03-29,2026-04-06
3,Hr,"[\""179\"",\""180\"",\""185\"",\""186\"",\""230\"",\""232\""]","[\""3\""]","[\""12\"",\""20\"",\""21\"",\""22\"",\""23\"",\""25\"",\""29\"",\""31\""]",1,0,1,,2025-07-05,2025-09-04
4,Seo,"[\""179\"",\""180\"",\""197\"",\""227\"",\""185\"",\""186\"",\""230\"",\""232\"",\""233\"",\""234\""]","[\""1\"",\""2\""]","[\""1\"",\""2\"",\""12\"",\""13\"",\""20\"",\""21\"",\""25\"",\""26\"",\""29\"",\""30\"",\""31\"",\""33\"",\""34\""]",1,0,1,,2025-07-17,2025-09-29
5,Digital Marketing,"[\""1\"",\""179\"",\""180\"",\""227\"",\""185\"",\""186\"",\""225\"",\""226\"",\""228\""]","[\""3\""]","[\""1\"",\""2\"",\""5\"",\""8\"",\""11\"",\""13\"",\""16\"",\""20\"",\""21\"",\""29\"",\""31\""]",,0,1,,2025-08-18,2025-10-14
6,Job Posting,"[\""179\"",\""197\"",\""227\""]",null,"[\""20\"",\""21\"",\""30\""]",1,0,1,,2025-09-02,2025-09-09
7,referral view only,"[\""230\"",\""232\""]","[\""3\""]",null,1,0,1,,2026-01-07,2026-01-07
8,Super Admin with email view,"[\""1\"",\""179\"",\""180\"",\""195\"",\""196\"",\""197\"",\""198\"",\""199\"",\""202\"",\""227\"",\""185\"",\""186\"",\""191\"",\""192\"",\""193\"",\""194\"",\""200\"",\""201\"",\""204\"",\""182\"",\""205\"",\""206\"",\""207\"",\""208\"",\""219\"",\""220\"",\""221\"",\""222\"",\""237\"",\""246\"",\""215\"",\""216\"",\""217\"",\""218\"",\""229\"",\""225\"",\""226\"",\""228\"",\""236\"",\""187\"",\""188\"",\""243\"",\""244\"",\""245\"",\""223\"",\""210\"",\""224\"",\""235\"",\""211\"",\""212\"",\""213\"",\""230\"",\""231\"",\""232\"",\""238\"",\""233\"",\""234\"",\""240\"",\""241\"",\""242\"",\""45\"",\""46\"",\""48\"",\""178\"",\""47\"",\""177\"",\""214\""]","[\""3\""]","[\""1\"",\""2\"",\""3\"",\""4\"",\""5\"",\""6\"",\""7\"",\""8\"",\""9\"",\""10\"",\""11\"",\""12\"",\""13\"",\""14\"",\""15\"",\""16\"",\""17\"",\""18\"",\""19\"",\""20\"",\""21\"",\""22\"",\""23\"",\""24\"",\""25\"",\""26\"",\""27\"",\""28\"",\""29\"",\""30\"",\""31\"",\""32\"",\""33\"",\""34\"",\""36\"",\""37\"",\""38\"",\""39\"",\""40\"",\""41\"",\""42\"",\""43\"",\""44\""]",1,0,1,,2026-04-14,2026-04-14
