id,company_id,name,image,description,status,is_deleted,create_date,modify_date
67,653,,uploads/images/1750489071_b66b6ac8e219bec18126.png,,1,1,,
68,5034,,uploads/images/1751523338_4929d2a3647922be19ee.jpg,,1,0,,
69,5034,,uploads/images/1751523338_6de406d6862f32a32e4f.jpg,,1,0,,
70,5034,,uploads/images/1751523338_05d7754fc7b0842e5a92.jpg,,1,0,,
71,5034,,uploads/images/1751523338_9070f5d85317045b1e8f.jpg,,1,0,,
72,6306,New year celebration,uploads/images/1751542923_c827b716df597d56ceda.jpeg,,1,0,,
73,6306,International Trip ,uploads/images/1751542957_9ced2310ecd45ba0c809.png,,1,0,,
74,6306,New Bangalore Branch opening,uploads/images/1751542991_88f11b9770636d002054.jpeg,,1,0,,
75,6306,Owner Birthday Celebration,uploads/images/1751543036_96aaaceca84bdfcbb598.jpeg,,1,0,,
76,4311,,uploads/images/1751544708_f7c351e7a7decade2e1a.jpg,,1,0,,
77,4311,,uploads/images/1751544708_96b681a415c7b0f092dd.jpg,,1,0,,
78,4311,,uploads/images/1751544708_b202bfb29b7eaa4f8814.jpg,,1,0,,
79,4311,,uploads/images/1751544708_3e8dd663fac4a516b1ec.jpg,,1,0,,
80,4311,,uploads/images/1751544708_fa6c06b2abf2aeffd726.jpg,,1,0,,
81,4311,,uploads/images/1751544708_0baa7a91e46fb3b6cf2e.jpg,,1,0,,
82,4311,,uploads/images/1751544708_952657b88fa2569c5691.jpg,,1,0,,
83,4311,,uploads/images/1751544708_64726fdda82c8fb942e0.jpg,,1,0,,
84,4311,,uploads/images/1751544708_a5380ea8119452e4462a.jpg,,1,0,,
85,4311,,uploads/images/1751544708_03af23b20d7eb2144e97.jpg,,1,0,,
86,7207,,uploads/images/1752055425_684fffa82d0a0d91523d.jpeg,,1,0,,
87,7207,,uploads/images/1752055425_826f79757e029c4573fe.jpeg,,1,0,,
88,7207,,uploads/images/1752055425_36ee29a40e676134e070.jpeg,,1,0,,
89,7207,,uploads/images/1752055425_7d52abc3dc33c096aba7.jpeg,,1,0,,
90,7207,,uploads/images/1752055425_c390d62030397fb6f3df.jpeg,,1,0,,
91,5654,,uploads/images/1752156523_faba40c45e9c4cb59f98.png,,1,0,,
92,7899,,uploads/images/1752582926_98faa84640245ae0d2af.jpg,,1,0,,
93,653,,uploads/images/1753189040_2150700389cbb76304e8.jpg,,1,1,,
94,2224,,uploads/images/1753354744_912afdcd73cbd3a54f23.jpg,,1,0,,
95,2224,,uploads/images/1753354744_72a0d30b9ac914b1f8cf.jpg,,1,0,,
96,2224,,uploads/images/1753354744_face22371fee2718f507.jpg,,1,0,,
97,2224,,uploads/images/1753354744_b2f95ed5445b43e6ade1.jpg,,1,0,,
98,2224,,uploads/images/1753354744_7e9ebe0376177b0687c5.jpg,,1,0,,
99,2224,,uploads/images/1753354744_306433955a59be2ed8ee.jpg,,1,0,,
100,2224,,uploads/images/1753354744_1f9e79d4dba34fcfc241.jpg,,1,0,,
101,2224,,uploads/images/1753354744_419186cc0e78cb81f8df.jpg,,1,0,,
102,2224,,uploads/images/1753354744_862f79a2d90a4ca2dfe5.jpg,,1,0,,
