id,parent_id,name,fafa,link,sort_order,status,create_date,modify_date
237,250,Company Merge,,admin/company_merge,2,1,2025-12-31 12:37:23,2026-05-19 12:57:12
238,230,Clarity Data,"<i class=\""fa fa-bars\"" aria-hidden=\""true\""></i>",admin/clarity,3,1,2026-01-03 11:02:18,2026-01-03 11:03:48
240,0,CRM,"<i class=\""fa fa-address-book-o\""></i>",,10,1,2026-01-15 12:02:51,2026-01-15 12:02:51
241,240,CRM Analytics,,admin/crm_analysis,1,1,2026-01-15 12:04:15,2026-01-15 12:04:15
242,240,Manage CRM,,admin/manage_crm,2,1,2026-01-15 12:04:58,2026-01-15 12:04:58
243,187,Reels,,admin/reels,2,1,2026-01-27 13:41:50,2026-01-28 15:35:35
244,187,Author,,admin/blog_author,3,1,2026-02-11 15:08:16,2026-02-11 15:08:16
245,187,Category,,admin/blog_category,4,1,2026-02-11 15:10:16,2026-02-11 15:10:16
246,204,Chat support questions,,admin/chat_support,10,1,2026-03-09 12:43:07,2026-03-09 12:43:07
247,0,Restaurant,"<i class=\""fa fa-cutlery\""></i>",,11,1,2026-04-17 10:50:24,2026-04-17 10:51:19
248,247,Restaurant,,admin/restaurant,0,1,2026-04-17 10:52:56,2026-04-17 10:52:56
250,0,Merge,"<i class=\""fa fa-code-fork\""></i>",,10,1,2026-05-19 12:55:02,2026-05-19 12:55:02
251,250,Domain populate,,admin/domain_populates,1,1,2026-05-19 12:56:22,2026-05-19 12:56:22
252,250,Company Merge History,"<i class=\""fa fa-bars\"" aria-hidden=\""true\""></i>",admin/company_merge_history,3,1,2026-06-03 12:28:23,2026-06-03 12:28:23
253,247,Customer Visit,,admin/visit-customer-restaurant,2,1,2026-06-17 17:18:55,2026-06-17 17:45:08
