id,name,thumbnail,status,short,type,template_path,create_date,modify_date
1,Template 1,uploads/resume/template1.png,1,1,1,resume_template/template1,,
2,Template 2,uploads/resume/template2.png,1,1,1,resume_template/template2,,
3,Template 3,uploads/resume/template3.png,1,1,1,resume_template/template3,,
