id,merge_company,main_company,moved_current_users,moved_experience_users,reject_reason,status,is_deleted,action_date,create_date,modify_date
1,37602,39364,,,"Hello manshi, One thing worth double-checking on your end. Approve and Revoke dialogs are untouched — same plain confirm as before.",3,0,2026-07-13 05:16:21,2026-06-03 12:03:23,2026-07-13 17:16:21
2,40131,39364,,,"Hello manshi, One thing worth double-checking on your end. Approve and Revoke dialogs are untouched — same plain confirm as before.",3,0,2026-07-13 05:16:21,2026-06-03 12:03:23,2026-07-13 17:16:21
3,40356,40473,[],"[\""40265\""]",,1,0,2026-07-13 12:55:54,2026-07-06 12:53:23,2026-07-13 12:55:55
4,40358,40473,"[\""34982\"",\""38918\""]","[\""34982\"",\""38918\""]",,1,0,2026-07-13 12:55:54,2026-07-06 12:53:23,2026-07-13 12:55:54
5,40359,40473,"[\""19\"",\""38860\"",\""38872\"",\""40355\"",\""40357\"",\""40499\"",\""40534\""]","[\""38860\"",\""19\"",\""38872\"",\""40499\"",\""40534\"",\""40355\"",\""40357\""]",,1,0,2026-07-13 12:55:54,2026-07-06 12:53:23,2026-07-13 12:55:54
10,68,67,,,,2,0,2026-07-13 05:23:08,2026-07-13 11:46:50,2026-07-13 17:23:08
11,69,67,,,,2,0,2026-07-13 05:23:08,2026-07-13 11:46:50,2026-07-13 17:23:08
