id,review_history_id,skill_id,rating,status,is_deleted,create_date,modify_date
1,308,19106,4,1,0,2026-04-10 13:03:31,2026-04-10 13:03:31
2,308,19023,3,1,0,2026-04-10 13:03:31,2026-04-10 13:03:31
5,310,19106,5,1,0,2026-04-10 13:05:47,2026-04-10 13:05:47
6,310,19097,4,1,0,2026-04-10 13:05:47,2026-04-10 13:05:47
7,311,19106,3,1,0,2026-04-10 13:08:42,2026-04-10 13:08:42
8,311,19097,4,1,0,2026-04-10 13:08:42,2026-04-10 13:08:42
9,312,19106,5,1,0,2026-04-10 13:12:29,2026-04-10 13:12:29
10,312,19097,4,1,0,2026-04-10 13:12:29,2026-04-10 13:12:29
11,320,19106,5,1,0,2026-04-10 15:30:50,2026-04-10 15:30:50
12,320,19097,4,1,0,2026-04-10 15:30:50,2026-04-10 15:30:50
13,321,19106,5,1,0,2026-04-10 15:31:39,2026-04-10 15:31:39
14,321,19097,4,1,0,2026-04-10 15:31:39,2026-04-10 15:31:39
15,322,19107,1,1,0,2026-04-10 16:00:44,2026-04-10 16:00:44
16,322,19108,2,1,0,2026-04-10 16:00:44,2026-04-10 16:00:44
17,324,19108,5,1,0,2026-04-11 10:58:42,2026-04-11 10:58:42
18,325,19108,4,1,0,2026-04-11 11:00:35,2026-04-11 11:00:35
19,328,19120,3,1,0,2026-04-13 15:17:37,2026-04-13 15:17:37
20,329,19118,1,1,0,2026-04-13 15:18:27,2026-04-13 15:18:27
21,329,19120,5,1,0,2026-04-13 15:18:27,2026-04-13 15:18:27
22,330,12586,5,1,0,2026-04-15 17:13:46,2026-04-15 17:13:46
23,330,15157,4,1,0,2026-04-15 17:13:47,2026-04-15 17:13:47
24,330,17889,4,1,0,2026-04-15 17:13:48,2026-04-15 17:13:48
25,330,19072,4,1,0,2026-04-15 17:13:49,2026-04-15 17:13:49
26,330,19073,3,1,0,2026-04-15 17:13:49,2026-04-15 17:13:49
27,330,19074,5,1,0,2026-04-15 17:13:49,2026-04-15 17:13:49
28,330,19075,3,1,0,2026-04-15 17:13:50,2026-04-15 17:13:50
29,331,8191,2,1,0,2026-04-16 12:50:03,2026-04-16 12:50:03
30,332,19133,3,1,0,2026-04-16 13:30:34,2026-04-16 13:30:34
31,332,19071,2,1,0,2026-04-16 13:30:34,2026-04-16 13:30:34
32,333,19069,3,1,0,2026-04-16 13:38:50,2026-04-16 13:38:50
33,333,19134,4,1,0,2026-04-16 13:38:50,2026-04-16 13:38:50
34,333,19135,5,1,0,2026-04-16 13:38:50,2026-04-16 13:38:50
35,334,12586,5,1,0,2026-04-16 16:03:29,2026-04-16 16:03:29
36,334,19074,5,1,0,2026-04-16 16:03:29,2026-04-16 16:03:29
37,345,8191,4,1,0,2026-04-17 17:35:18,2026-04-17 17:35:18
38,345,13709,4,1,0,2026-04-17 17:35:18,2026-04-17 17:35:18
39,345,19141,4,1,0,2026-04-17 17:35:18,2026-04-17 17:35:18
40,346,19141,4,1,0,2026-04-17 17:37:16,2026-04-17 17:37:16
41,346,19142,4,1,0,2026-04-17 17:37:16,2026-04-17 17:37:16
42,346,19143,4,1,0,2026-04-17 17:37:16,2026-04-17 17:37:16
43,347,9395,5,1,0,2026-04-17 17:40:05,2026-04-17 17:40:05
44,347,17589,4,1,0,2026-04-17 17:40:05,2026-04-17 17:40:05
45,347,17389,4,1,0,2026-04-17 17:40:05,2026-04-17 17:40:05
46,347,8191,4,1,0,2026-04-17 17:40:05,2026-04-17 17:40:05
47,348,11855,5,1,0,2026-04-20 11:09:40,2026-04-20 11:09:40
48,348,15152,4,1,0,2026-04-20 11:09:40,2026-04-20 11:09:40
49,349,26,5,1,0,2026-04-20 11:11:07,2026-04-20 11:11:07
50,349,19023,3,1,0,2026-04-20 11:11:07,2026-04-20 11:11:07
51,349,19068,4,1,0,2026-04-20 11:11:07,2026-04-20 11:11:07
52,350,19143,4,1,0,2026-04-20 11:21:24,2026-04-20 11:21:24
53,350,19142,4,1,0,2026-04-20 11:21:24,2026-04-20 11:21:24
54,350,19149,4,1,0,2026-04-20 11:21:24,2026-04-20 11:21:24
55,352,19118,3,1,0,2026-04-21 17:52:34,2026-04-21 17:52:34
56,352,19102,3,1,0,2026-04-21 17:52:34,2026-04-21 17:52:34
57,352,19157,2,1,0,2026-04-21 17:52:34,2026-04-21 17:52:34
58,353,16190,3,1,0,2026-04-21 18:02:47,2026-04-21 18:02:47
59,353,12863,2,1,0,2026-04-21 18:02:47,2026-04-21 18:02:47
60,354,19102,2,1,0,2026-04-21 18:03:46,2026-04-21 18:03:46
61,354,19161,3,1,0,2026-04-21 18:03:46,2026-04-21 18:03:46
62,356,19067,4,1,0,2026-04-22 12:00:11,2026-04-22 12:00:11
63,356,19065,4,1,0,2026-04-22 12:00:11,2026-04-22 12:00:11
64,356,19068,4,1,0,2026-04-22 12:00:11,2026-04-22 12:00:11
65,357,19118,1,1,0,2026-04-22 12:29:00,2026-04-22 12:29:00
66,357,19114,2,1,0,2026-04-22 12:29:00,2026-04-22 12:29:00
67,357,19106,2,1,0,2026-04-22 12:29:00,2026-04-22 12:29:00
68,357,19157,1,1,0,2026-04-22 12:29:00,2026-04-22 12:29:00
69,359,19162,0,1,0,2026-04-22 13:13:09,2026-04-22 13:13:09
70,359,19163,0,1,0,2026-04-22 13:13:09,2026-04-22 13:13:09
71,359,19164,0,1,0,2026-04-22 13:13:09,2026-04-22 13:13:09
72,360,12284,4,1,0,2026-04-22 17:26:56,2026-04-22 17:26:56
73,360,15148,4,1,0,2026-04-22 17:26:56,2026-04-22 17:26:56
74,360,15429,4,1,0,2026-04-22 17:26:56,2026-04-22 17:26:56
75,360,17777,4,1,0,2026-04-22 17:26:56,2026-04-22 17:26:56
76,361,19166,4,1,0,2026-04-22 19:06:26,2026-04-22 19:06:26
77,361,7646,3,1,0,2026-04-22 19:06:26,2026-04-22 19:06:26
78,362,19167,3,1,0,2026-04-22 19:07:07,2026-04-22 19:07:07
79,363,7646,3,1,0,2026-04-22 19:12:22,2026-04-22 19:12:22
80,363,19144,3,1,0,2026-04-22 19:12:22,2026-04-22 19:12:22
81,364,19102,3,1,0,2026-04-22 19:13:57,2026-04-22 19:13:57
82,364,19168,3,1,0,2026-04-22 19:13:57,2026-04-22 19:13:57
83,365,19118,3,1,0,2026-04-23 12:06:36,2026-04-23 12:06:36
84,365,18441,4,1,0,2026-04-23 12:06:36,2026-04-23 12:06:36
85,366,19144,4,1,0,2026-04-23 12:07:38,2026-04-23 12:07:38
86,366,19074,2,1,0,2026-04-23 12:07:38,2026-04-23 12:07:38
87,367,19070,3,1,0,2026-04-24 13:01:57,2026-04-24 13:01:57
88,367,19172,5,1,0,2026-04-24 13:01:57,2026-04-24 13:01:57
89,369,19181,3,1,0,2026-04-27 17:29:03,2026-04-27 17:29:03
90,369,9061,3,1,0,2026-04-27 17:29:03,2026-04-27 17:29:03
91,371,15152,3,1,0,2026-04-27 18:14:15,2026-04-27 18:14:15
92,372,3959,4,1,0,2026-05-02 10:41:20,2026-05-02 10:41:20
93,372,19199,4,1,0,2026-05-02 10:41:20,2026-05-02 10:41:20
94,372,19200,5,1,0,2026-05-02 10:41:20,2026-05-02 10:41:20
95,372,19201,5,1,0,2026-05-02 10:41:20,2026-05-02 10:41:20
96,373,13350,5,1,0,2026-05-05 11:31:02,2026-05-05 11:31:02
97,373,19208,5,1,0,2026-05-05 11:31:02,2026-05-05 11:31:02
98,374,9346,5,1,0,2026-05-05 11:32:25,2026-05-05 11:32:25
99,374,19199,5,1,0,2026-05-05 11:32:25,2026-05-05 11:32:25
