id,company_id,benefit_id,description,status,sortOrder,is_deleted,create_date,modify_date
1,116,1,,1,,0,2025-03-28 17:35:29,2025-03-28 17:35:29
2,116,5,,1,,0,2025-03-28 17:35:33,2025-03-28 17:35:33
3,116,15,,1,,0,2025-03-28 17:35:46,2025-03-28 17:35:46
4,116,17,,1,,0,2025-03-28 17:36:10,2025-03-28 17:36:10
5,116,18,,1,,0,2025-03-28 17:36:30,2025-03-28 17:36:30
6,13,1,,1,,1,2025-03-31 10:28:45,2025-03-31 10:28:45
7,213,1,,1,,0,2025-03-31 15:54:54,2025-03-31 15:54:54
8,213,2,,1,,0,2025-03-31 15:54:57,2025-03-31 15:54:57
9,213,5,,1,,0,2025-03-31 15:55:05,2025-03-31 15:55:05
10,213,6,,1,,0,2025-03-31 15:55:11,2025-03-31 15:55:11
11,213,13,,1,,0,2025-03-31 15:55:20,2025-03-31 15:55:20
12,213,12,,1,,0,2025-03-31 15:55:25,2025-03-31 15:55:25
13,213,19,,1,,0,2025-03-31 15:55:37,2025-03-31 15:55:37
14,2,5,,1,,0,2025-04-01 11:27:20,2025-04-01 11:27:20
15,2,15,,1,,0,2025-04-01 11:27:29,2025-04-01 11:27:29
16,2,20,,1,,0,2025-04-01 11:27:47,2025-04-01 11:27:47
17,2,21,,1,,0,2025-04-01 11:28:37,2025-04-01 11:28:37
18,2,22,,1,,0,2025-04-01 11:29:32,2025-04-01 11:29:32
19,2,23,,1,,0,2025-04-01 11:30:02,2025-04-01 11:30:02
20,2,24,,1,,0,2025-04-01 11:30:44,2025-04-01 11:30:44
21,5,15,,1,,0,2025-04-01 13:20:22,2025-04-01 13:20:22
22,5,1,,1,,0,2025-04-01 13:20:52,2025-04-01 13:20:52
23,5,5,,1,,0,2025-04-01 13:21:02,2025-04-01 13:21:02
25,5,19,,1,,0,2025-04-01 13:21:31,2025-04-01 13:21:31
26,5,21,,1,,0,2025-04-01 13:21:48,2025-04-01 13:21:48
27,5,24,,1,,0,2025-04-01 13:22:21,2025-04-01 13:22:21
28,5,20,,1,,0,2025-04-01 13:22:29,2025-04-01 13:22:29
29,653,11,,1,,1,2025-04-21 13:53:02,2025-04-21 13:53:02
30,653,7,,1,,1,2025-04-21 13:53:05,2025-04-21 13:53:05
31,653,5,,1,,1,2025-04-21 14:35:51,2025-04-21 14:35:51
32,92,13,,1,,0,2025-04-22 13:44:24,2025-04-22 13:44:24
33,92,13,,1,,0,2025-04-22 13:44:34,2025-04-22 13:44:34
34,21,1,,1,,1,2025-04-26 19:26:32,2025-04-26 19:26:32
35,21,3,,1,,1,2025-04-26 19:26:35,2025-04-26 19:26:35
36,914,4,,1,,0,2025-04-28 06:37:00,2025-04-28 06:37:00
37,653,1,,1,,1,2025-05-06 12:19:41,2025-05-06 12:19:41
38,653,6,,1,,1,2025-05-06 12:19:57,2025-05-06 12:19:57
39,653,15,,1,,1,2025-05-06 12:20:07,2025-05-06 12:20:07
40,1503,20,,1,,0,2025-05-07 11:24:28,2025-05-07 11:24:28
41,1503,22,,1,,0,2025-05-07 11:24:36,2025-05-07 11:24:36
42,1503,19,,1,,0,2025-05-07 11:24:42,2025-05-07 11:24:42
43,1503,17,,1,,0,2025-05-07 11:24:46,2025-05-07 11:24:46
44,1503,24,,1,,0,2025-05-07 11:25:03,2025-05-07 11:25:03
45,1612,11,,1,,0,2025-05-09 12:49:05,2025-05-09 12:49:05
46,1612,25,,1,,0,2025-05-09 12:49:21,2025-05-09 12:49:21
47,1612,20,,1,,0,2025-05-09 12:49:32,2025-05-09 12:49:32
48,1612,26,,1,,0,2025-05-09 12:49:48,2025-05-09 12:49:48
49,1846,20,,1,,0,2025-05-14 17:14:52,2025-05-14 17:14:52
50,1846,26,,1,,0,2025-05-14 17:15:03,2025-05-14 17:15:03
51,1846,2,,1,,0,2025-05-14 17:15:16,2025-05-14 17:15:16
