id,name,status,is_deleted,create_date,modify_date
1,Restaurants,1,0,2026-04-17 06:49:19,2026-04-17 06:49:19
2,Salons,1,0,2026-04-17 06:49:19,2026-04-17 06:49:19
3,Groceries,1,0,2026-04-17 06:49:19,2026-04-17 06:49:19
