id,notification_id,user_id,is_deleted,create_date
1,15832,19,0,2026-06-22 17:08:10
2,15826,19,0,2026-06-22 17:08:10
3,15821,19,0,2026-06-22 17:08:10
4,15820,19,0,2026-06-22 17:08:10
5,15818,19,0,2026-06-22 17:08:10
6,15816,19,0,2026-06-22 17:08:10
7,15815,19,0,2026-06-22 17:08:10
8,15800,19,0,2026-06-22 17:08:10
9,15799,19,0,2026-06-22 17:08:10
10,15726,19,0,2026-06-22 17:08:10
11,15725,19,0,2026-06-22 17:08:10
12,15724,19,0,2026-06-22 17:08:10
13,15723,19,0,2026-06-22 17:08:10
14,15721,19,0,2026-06-22 17:08:10
15,15704,19,0,2026-06-22 17:08:10
16,15703,19,0,2026-06-22 17:08:10
17,15700,19,0,2026-06-22 17:08:10
18,15699,19,0,2026-06-22 17:08:10
19,15693,19,0,2026-06-22 17:08:10
20,15692,19,0,2026-06-22 17:08:10
21,15685,19,0,2026-06-22 17:08:10
22,15684,19,0,2026-06-22 17:08:10
23,15679,19,0,2026-06-22 17:08:10
24,15669,19,0,2026-06-22 17:08:10
25,15667,19,0,2026-06-22 17:08:10
26,15666,19,0,2026-06-22 17:08:10
27,15637,19,0,2026-06-22 17:08:10
28,15596,19,0,2026-06-22 17:08:10
29,15595,19,0,2026-06-22 17:08:10
30,15529,19,0,2026-06-22 17:08:10
31,15528,19,0,2026-06-22 17:08:10
32,15527,19,0,2026-06-22 17:08:10
33,15522,19,0,2026-06-22 17:08:10
34,15521,19,0,2026-06-22 17:08:10
35,15509,19,0,2026-06-22 17:08:10
36,15499,19,0,2026-06-22 17:08:10
37,15480,19,0,2026-06-22 17:08:10
38,15470,19,0,2026-06-22 17:08:10
41,15833,40265,0,2026-06-22 18:01:36
42,15832,40265,0,2026-06-22 18:02:52
43,15821,40265,0,2026-06-22 18:03:15
44,15826,40265,0,2026-06-22 18:03:18
45,15833,19,0,2026-06-22 18:04:37
46,15833,19,0,2026-06-22 18:04:40
47,15834,19,0,2026-06-22 18:08:08
48,15837,38860,0,2026-06-23 14:49:58
49,15837,38860,0,2026-06-23 14:50:04
50,15826,38860,0,2026-06-23 14:50:15
51,15935,38860,0,2026-06-26 12:46:31
52,15934,38860,0,2026-06-26 12:46:31
53,15933,38860,0,2026-06-26 12:46:31
54,15923,38860,0,2026-06-26 12:46:31
55,15922,38860,0,2026-06-26 12:46:31
56,15921,38860,0,2026-06-26 12:46:31
57,15919,38860,0,2026-06-26 12:46:31
58,15918,38860,0,2026-06-26 12:46:31
59,15917,38860,0,2026-06-26 12:46:31
60,15916,38860,0,2026-06-26 12:46:31
61,15915,38860,0,2026-06-26 12:46:31
62,15914,38860,0,2026-06-26 12:46:31
63,15913,38860,0,2026-06-26 12:46:31
64,15912,38860,0,2026-06-26 12:46:31
65,15911,38860,0,2026-06-26 12:46:31
66,15902,38860,0,2026-06-26 12:46:31
67,15899,38860,0,2026-06-26 12:46:31
68,15898,38860,0,2026-06-26 12:46:31
69,15897,38860,0,2026-06-26 12:46:31
70,15890,38860,0,2026-06-26 12:46:31
71,15884,38860,0,2026-06-26 12:46:31
72,15873,38860,0,2026-06-26 12:46:31
73,15872,38860,0,2026-06-26 12:46:31
74,15870,38860,0,2026-06-26 12:46:31
75,15868,38860,0,2026-06-26 12:46:31
76,15866,38860,0,2026-06-26 12:46:31
77,15858,38860,0,2026-06-26 12:46:31
78,15857,38860,0,2026-06-26 12:46:31
79,15854,38860,0,2026-06-26 12:46:31
80,15853,38860,0,2026-06-26 12:46:31
81,15852,38860,0,2026-06-26 12:46:31
82,15850,38860,0,2026-06-26 12:46:31
83,15849,38860,0,2026-06-26 12:46:31
84,15838,38860,0,2026-06-26 12:46:31
85,15837,38860,0,2026-06-26 12:46:31
86,15834,38860,0,2026-06-26 12:46:31
87,15833,38860,0,2026-06-26 12:46:31
88,15832,38860,0,2026-06-26 12:46:31
89,15826,38860,0,2026-06-26 12:46:31
90,15821,38860,0,2026-06-26 12:46:31
91,15820,38860,0,2026-06-26 12:46:31
92,15818,38860,0,2026-06-26 12:46:31
93,15816,38860,0,2026-06-26 12:46:31
94,15815,38860,0,2026-06-26 12:46:31
95,15800,38860,0,2026-06-26 12:46:31
96,15799,38860,0,2026-06-26 12:46:31
97,15768,38860,0,2026-06-26 12:46:31
98,15745,38860,0,2026-06-26 12:46:31
99,15707,38860,0,2026-06-26 12:46:31
100,15704,38860,0,2026-06-26 12:46:31
101,15703,38860,0,2026-06-26 12:46:31
102,15700,38860,0,2026-06-26 12:46:31
103,15699,38860,0,2026-06-26 12:46:31
104,15696,38860,0,2026-06-26 12:46:31
105,15693,38860,0,2026-06-26 12:46:31
106,15692,38860,0,2026-06-26 12:46:31
107,15685,38860,0,2026-06-26 12:46:31
108,15684,38860,0,2026-06-26 12:46:31
109,15679,38860,0,2026-06-26 12:46:31
110,15674,38860,0,2026-06-26 12:46:31
111,15669,38860,0,2026-06-26 12:46:31
112,15667,38860,0,2026-06-26 12:46:31
113,15666,38860,0,2026-06-26 12:46:31
114,15665,38860,0,2026-06-26 12:46:31
115,15661,38860,0,2026-06-26 12:46:31
116,15637,38860,0,2026-06-26 12:46:31
117,15605,38860,0,2026-06-26 12:46:31
118,15596,38860,0,2026-06-26 12:46:31
119,15595,38860,0,2026-06-26 12:46:31
120,15586,38860,0,2026-06-26 12:46:31
121,15529,38860,0,2026-06-26 12:46:31
122,15528,38860,0,2026-06-26 12:46:31
123,15527,38860,0,2026-06-26 12:46:31
124,15522,38860,0,2026-06-26 12:46:31
125,15521,38860,0,2026-06-26 12:46:31
126,15509,38860,0,2026-06-26 12:46:31
127,15499,38860,0,2026-06-26 12:46:31
128,15477,38860,0,2026-06-26 12:46:31
129,15473,38860,0,2026-06-26 12:46:31
130,15468,38860,0,2026-06-26 12:46:31
131,15464,38860,0,2026-06-26 12:46:31
132,15455,38860,0,2026-06-26 12:46:31
133,15454,38860,0,2026-06-26 12:46:31
134,15453,38860,0,2026-06-26 12:46:31
135,15440,38860,0,2026-06-26 12:46:31
136,15434,38860,0,2026-06-26 12:46:31
137,15875,40119,0,2026-06-26 16:28:39
138,15875,40119,0,2026-06-26 16:28:39
139,15920,40119,0,2026-06-26 16:28:52
140,15877,40119,0,2026-06-26 16:28:52
141,15875,40119,0,2026-06-26 16:28:52
142,15874,40119,0,2026-06-26 16:28:52
143,15813,40119,0,2026-06-26 16:28:52
144,15810,40119,0,2026-06-26 16:28:52
145,15958,38860,0,2026-06-26 17:51:42
146,15954,38860,0,2026-06-26 17:51:42
147,15951,38860,0,2026-06-26 17:51:42
148,15946,38860,0,2026-06-26 17:51:42
149,15944,38860,0,2026-06-26 17:51:42
150,15936,38860,0,2026-06-26 17:51:42
151,15935,38860,0,2026-06-26 17:51:42
152,15934,38860,0,2026-06-26 17:51:42
153,15933,38860,0,2026-06-26 17:51:42
154,15923,38860,0,2026-06-26 17:51:42
155,15922,38860,0,2026-06-26 17:51:42
