id,title,create_date,modify_date,status,is_deleted
1,I have a duplicate account,,,1,0
2,I’m getting too many emails,,,1,0
3,I’m not finding Collarcheck useful,,,1,0
4,I have a privacy concern,,,1,0
5,I’m receiving unwanted contact,,,1,0
6,I’m spending too much time on Collarcheck,,,1,0
7,I’m getting too many messages,,,1,0
