id,userid,companyid,otp,status,review,salary,access,expiry,is_deleted,create_date,modify_date
143,38860,19,,0,,,"[\""1\"",\""2\""]",2026-06-30 10:55:29,0,2026-06-12 15:16:03,2026-06-12 15:16:03
144,40355,38860,,0,,,"[\""1\"",\""2\""]",2026-06-14 15:04:39,0,2026-06-13 15:04:02,2026-06-13 15:04:02
145,18,40290,,0,,,,,0,2026-06-16 12:10:38,2026-06-16 12:10:38
146,40388,38860,,1,,,"[\""1\"",\""2\""]",2026-06-17 13:37:47,0,2026-06-16 13:37:23,2026-06-16 13:37:23
147,40440,40279,,0,,,,,0,2026-06-18 13:19:30,2026-06-18 13:19:30
148,40279,40440,,0,,,,,0,2026-06-18 13:21:35,2026-06-18 13:21:35
149,19,40119,,0,,,,,0,2026-06-18 16:40:37,2026-06-18 16:40:37
150,40465,38872,,1,,,"[\""1\"",\""2\""]",2026-06-23 16:50:34,0,2026-06-22 16:44:42,2026-06-22 16:44:42
151,134,19,,0,,,,,0,2026-06-23 11:40:10,2026-06-23 11:40:10
152,18,38860,,0,,,,,0,2026-06-23 15:11:28,2026-06-23 15:11:28
153,40290,40471,,0,,,"[\""1\"",\""2\""]",2026-07-03 12:38:56,0,2026-06-23 17:47:13,2026-06-23 17:47:13
154,134,40119,,0,,,,,0,2026-06-24 11:48:50,2026-06-24 11:48:50
155,40499,38872,,0,,,"[\""1\"",\""2\""]",2026-07-01 16:21:23,1,2026-06-29 12:40:09,2026-06-29 12:40:09
156,40499,38872,,0,,,,,0,2026-06-30 16:21:47,2026-06-30 16:21:47
157,38872,40499,,0,,,"[\""1\"",\""2\""]",2026-07-01 18:40:24,0,2026-06-30 18:39:03,2026-06-30 18:39:03
158,40290,38860,,0,,,,,1,2026-06-30 18:47:13,2026-06-30 18:47:13
159,40290,38860,,0,,,,,1,2026-06-30 18:49:13,2026-06-30 18:49:13
160,40290,38860,,0,,,"[\""1\"",\""2\""]",2026-07-01 18:51:32,0,2026-06-30 18:49:44,2026-06-30 18:49:44
161,38872,40534,,0,,,"[\""1\"",\""2\""]",2026-07-02 15:19:10,0,2026-07-01 15:15:43,2026-07-01 15:15:43
162,134,40265,,0,,,,,0,2026-07-01 15:33:00,2026-07-01 15:33:00
163,40265,40534,,0,,,,,0,2026-07-01 15:33:35,2026-07-01 15:33:35
164,38872,40553,,0,,,,,0,2026-07-01 18:19:23,2026-07-01 18:19:23
165,38872,40554,,0,,,,,1,2026-07-02 10:50:04,2026-07-02 10:50:04
166,38872,40554,,0,,,,,1,2026-07-02 10:52:02,2026-07-02 10:52:02
167,38872,40554,,0,,,,,1,2026-07-02 10:53:29,2026-07-02 10:53:29
168,38872,40554,,0,,,,,0,2026-07-02 11:03:49,2026-07-02 11:03:49
169,40554,38872,,1,,,"[\""1\"",\""2\""]",2026-07-09 14:34:01,0,2026-07-08 14:33:45,2026-07-08 14:33:45
