original_id,original_name,canonical_name,reason
12662,Responsable administrative et financi?re,Responsable Administrative Et Financi Re,Word count mismatch
12674,Front office executive & computer operator,Front Office Executive Computer Operator,Word count mismatch
12676,Ing?nieur en technologie de l'information,Ing Nieur En Technologie De L Information,Word count mismatch
12697,Administration & human resources executive,Administration Human Resources Executive,Word count mismatch
12712,Assistant manager - information technology,Assistant Manager Information Technology,Word count mismatch
12719,Ing?nieur en technologies de l'information,Ing Nieur En Technologies De L Information,Word count mismatch
12739,Gesch?ftsf?hrer and chief executive officer,Gesch Ftsf Hrer And Chief Executive Officer,Word count mismatch
12755,Senior manager human resources & administration,Senior Manager Human Resources Administration,Word count mismatch
12756,Deputy manager human resources & administration,Deputy Manager Human Resources Administration,Word count mismatch
12758,Chief executive officer;chief executive officer,Chief Executive Officer Chief Executive Officer,Word count mismatch
12760,Senior officer human resources & administration,Senior Officer Human Resources Administration,Word count mismatch
12762,General manager human resources & administration,General Manager Human Resources Administration,Word count mismatch
12769,Senior human resources & administration executive,Senior Human Resources Administration Executive,Word count mismatch
12778,Assistant manager human resources & administration,Assistant Manager Human Resources Administration,Word count mismatch
12791,HR (Admin) & Manager BD,Hr Admin Manager Bd,Word count mismatch
12805,UI/UX Designer,User Interface User Experience Designer,Word count mismatch
12810,Digitalization - Operation Executive,Digitalization Operation Executive,Word count mismatch
12812,E-commerce Executive,E Commerce Executive,Word count mismatch
12813,SEO & Digital Marketing Manager,Seo Digital Marketing Manager,Word count mismatch
12821,Content Writer & Researcher,Content Writer Researcher,Word count mismatch
12825,Senior UI/UX Developer,Senior User Interface User Experience Developer,Word count mismatch
12826,Senior UI/ UX Developer,Senior User Interface User Experience Developer,Word count mismatch
12827,UI/UX Developer,User Interface User Experience Developer,Word count mismatch
12838,UI UX Designer,User Interface User Experience Designer,Word count mismatch
12839,PRT-MOTHER TEACHER,Prt Mother Teacher,Word count mismatch
12842,AVP - Business Development,Avp Business Development,Word count mismatch
12852,Interia Sales & Design Specialist,Interia Sales Design Specialist,Word count mismatch
12860,Lead UI Developer,Lead User Interface Developer,Word count mismatch
12861,Sr. UI Designer,Senior User Interface Designer,Word count mismatch
12862,M&e cum accountant,M E Cum Accountant,Word count mismatch
